job_category,total_jobs,avg_salary,unique_companies,top_state,demand_level
Agriculture / Farms,6904,"$31,085",251,QLD,HIGH
Cleaning / Facilities,8461,"$16,049",277,QLD,HIGH
Construction,10138,"$18,361",427,SA,HIGH
FIFO / Mines,11393,"$14,713",408,SA,HIGH
Healthcare / Aged Care,11360,"$23,932",434,ACT,HIGH
Hospitality,10095,"$22,779",363,VIC,HIGH
Logistics / Transport,8673,"$17,676",354,SA,HIGH
Retail,7562,"$23,607",354,QLD,HIGH
Security,5722,"$34,799",224,ACT,HIGH
Warehouse / Distribution,9862,"$19,671",383,QLD,HIGH
