title,company,location,state,job_category,job_keyword,job_type,salary,visa_417_eligible,visa_417_categories,url,scraped_at
Plumber,atHolland Brothers Plumbing,Canberra ACT,ACT,Construction,plumber,N/A,"$110,000 – $140,000 per year",✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92534165?type=promoted&ref=search-standalone#sol=012df25c46f953042e7c67127296cfd2bd4908b5,2026-06-22 07:58:23
Maintenance Plumber,atKev's Plumbing,Canberra ACT,ACT,Construction,plumber,N/A,$50–$65 PH + Super + Bonuses + Vehicle,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92724792?type=promoted&ref=search-standalone#sol=e18c50d2d2cee79ed4ff4e57100201d92454f041,2026-06-22 07:58:23
Plumber,Listed seventeen days ago,Canberra ACT,ACT,Construction,plumber,N/A,"$110,000 – $140,000 per year",✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92534165?type=standard&ref=search-standalone#sol=f879b671a5fdb5dab2547affc5f057788a4a5586,2026-06-22 07:58:23
Plumber - Real Estate and Strata,Listed seven days ago,Canberra ACT,ACT,Construction,plumber,N/A,$45 – $60 per hour,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92714159?type=standard&ref=search-standalone#sol=b5e5486230069e925b69a8aa21b9ee5212a37ccf,2026-06-22 07:58:23
Maintenance Plumber,Listed seven days ago,Canberra ACT,ACT,Construction,plumber,N/A,$50–$65 PH + Super + Bonuses + Vehicle,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92724792?type=standard&ref=search-standalone#sol=13035e6fc2b7fc41144c90c060553f0d2b1548a5,2026-06-22 07:58:23
Plumber,Listed twenty five days ago,Canberra ACT,ACT,Construction,plumber,N/A,$45 – $60 per hour,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92381520?type=standard&ref=search-standalone#sol=1c3cf2c546ba1b713ea2f4e6ab705fe8dde39700,2026-06-22 07:58:23
Metering Technician,Listed thirteen days ago,"Hume,Canberra ACT",ACT,Construction,plumber,N/A,N/A,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92591139?type=standard&ref=search-standalone#sol=c9de175d8fe5b2e490cbaf46747be38200528f6e,2026-06-22 07:58:23
Plumber - C,Listed ten days ago,"Duntroon,Canberra ACT",ACT,Construction,plumber,N/A,$47.33 ph + super & allowances,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92679617?type=standard&ref=search-standalone#sol=253704556f0b68c23dadf458c1de09ef83a5b66d,2026-06-22 07:58:23
Plumber - Tradesman,Listed twenty days ago,Canberra ACT,ACT,Construction,plumber,Full-time,$45 – $55 per hour,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92452274?type=standard&ref=search-standalone#sol=4ac6f0a1a1c227ee182ff29699fb87fe10adf1d9,2026-06-22 07:58:23
Residential Service/Install Plumber,Listed thirteen days ago,Canberra ACT,ACT,Construction,plumber,N/A,$45 – $60 per hour,✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92592426?type=standard&ref=search-standalone#sol=ae85a7a66545ffc95e0378e60b335e3be7e08cfb,2026-06-22 07:58:23
Plumbers and Journeyman Plumbers,Listed eleven days ago,"Mitchell,Canberra ACT",ACT,Construction,plumber,N/A,"$100,000 – $130,000 per year",✅ YES,"Regional, Bushfire",https://www.seek.com.au/job/92638859?type=standard&ref=search-standalone#sol=61cf6f751141d42803a9164529b94578c63ea5d6,2026-06-22 07:58:23
