title,company,location,job_type,salary,url,scraped_at
Labourer,,"Townsville,Northern QLD",Contract,N/A,https://www.seek.com.au/job/92797172?type=promoted&ref=search-standalone#sol=9790b12aa8436f5c5c150a0efc096a834bb3791a,2026-06-20 14:59:53
Construction Labourer,,atBuildsafe Queensland Pty Ltd,Casual,$37.85 – $40.20 per hour,https://www.seek.com.au/job/92595289?type=promoted&ref=search-standalone#sol=88a603320e2ab5387d67c20002250140b1669d4a,2026-06-20 14:59:53
Road Workers,,"Townsville,Northern QLD",Contract,$38 – $45 per hour + LAHA + Travel + Pens,https://www.seek.com.au/job/92777791?type=standard&ref=search-standalone#sol=f3c8f6dab9ee9de4c85d7e7e261563311c1cbefe,2026-06-20 14:59:53
Brisbane City Council - Asphalt Labourer | Eagle Farm,,"Eagle Farm,Brisbane QLD",Contract,$45 - $58 p.h. + EBA Allowances + overtime + penal,https://www.seek.com.au/job/92819869?type=standard&ref=search-standalone#sol=6a0ec4dad1c84f0e0f4cee32291afd64d5fe2151,2026-06-20 14:59:53
Labourer,,"Townsville,Northern QLD",Contract,N/A,https://www.seek.com.au/job/92797172?type=standard&ref=search-standalone#sol=35247a9e0e2259f62071f173c840a8a908afef79,2026-06-20 14:59:53
Civil Labourer,,"Toowoomba,Toowoomba & Darling Downs QLD",N/A,$35 – $40 per hour,https://www.seek.com.au/job/92737314?type=standard&ref=search-standalone#sol=0dd94d82fb1e193574b14b046ce55b5ba27764bc,2026-06-20 14:59:53
Construction Labourer - Toowoomba,,atBuildsafe Queensland Pty Ltd,Casual,$37.85 – $40.20 per hour,https://www.seek.com.au/job/92824315?type=standard&ref=search-standalone#sol=f31064f88e4757911e1624c5fefd1ed3ce42ad44,2026-06-20 14:59:53
Civil Labourer - Lakeland Depot,,"Cooktown,Cairns & Far North QLD",Contract,$43/hr Civil Labourers | Lakeland Depot | Local Govt Works | 10/4 Roster | NOT FIFO/DIDO – Local Applicants Only,https://www.seek.com.au/job/92710107?type=standard&ref=search-standalone#sol=c6125293dbee9cd77181d599154a514e1871489f,2026-06-20 14:59:53
Construction Labourer,,atBuildsafe Queensland Pty Ltd,Casual,$37.85 – $40.20 per hour,https://www.seek.com.au/job/92595289?type=standard&ref=search-standalone#sol=3e58d58437e5cdd52988f01514b51811686fc96d,2026-06-20 14:59:53
Recycling Hand/Sorter,,"Browns Plains,Brisbane QLD",N/A,N/A,https://www.seek.com.au/job/92823248?type=standard&ref=search-standalone#sol=0aa0af3438330179f207a38cc25f9f78a880eada,2026-06-20 14:59:53
Casual Construction Labourers,,"Leyburn,Toowoomba & Darling Downs QLD",Casual,N/A,https://www.seek.com.au/job/92765756?type=standard&ref=search-standalone#sol=8c23baaa19cc1c9173d091c8261a79d52b66a2bc,2026-06-20 14:59:53
Paveline Labourer,,"Miles,Toowoomba & Darling Downs QLD",N/A,"$65,634.13 per year",https://www.seek.com.au/job/92762966?type=standard&ref=search-standalone#sol=459064f551fa3777bc5623ae37c44512138cbf7f,2026-06-20 14:59:53
Marine spray painters and labourers,,"Coomera,Gold Coast QLD",N/A,$40 – $50 per hour,https://www.seek.com.au/job/92648946?type=standard&ref=search-standalone#sol=9a4ef1854635010ee4fec7b714b19c3e4e7f04c7,2026-06-20 14:59:53
Labourer,,"Mount St John,Northern QLD",Casual,$36 per hour,https://www.seek.com.au/job/92773151?type=standard&ref=search-standalone#sol=5950556f4e161a028dc4ec4cc7ad54c6fd2dbaf1,2026-06-20 14:59:53
Labourers - Water Services,,"Bundaberg,Bundaberg & Wide Bay Burnett QLD",N/A,"$70,826 - $72,240 per annum + super + benefits",https://www.seek.com.au/job/92617596?type=standard&ref=search-standalone#sol=3211b7a332c30db264ca4846c7d34d94f616928f,2026-06-20 14:59:53
Construction Labourers & Scaffold Labourers,,atBuildsafe Queensland Pty Ltd,Casual,$37.85 – $40.20 per hour,https://www.seek.com.au/job/92595040?type=standard&ref=search-standalone#sol=e22fa0ba161edea0ad99a6293b5e175af61b4469,2026-06-20 14:59:53
Traffic Survey Equipment Installer,,"Rockhampton,Rockhampton & Capricorn Coast QLD",Casual,$30 – $40 per hour,https://www.seek.com.au/job/92756520?type=standard&ref=search-standalone#sol=9c6aa9dabe1a1b57968b13a5ac33549bf58412ec,2026-06-20 14:59:53
Event Labour,,"Toowoomba,Toowoomba & Darling Downs QLD",N/A,"$60,000 – $80,000 per year",https://www.seek.com.au/job/92773911?type=standard&ref=search-standalone#sol=c7509358893ad9db6d02a407bd32a7bcedfb0bb6,2026-06-20 14:59:53
Ticketed Labourer,,Brisbane QLD,Casual,Ticketed Labourers wanted across Brisbane. $37-$45/hr + super. White Card and construction tickets required. Immediate starts available.,https://www.seek.com.au/job/92818581?type=standard&ref=search-standalone#sol=9d55adbeb28e63c08b12a5e9b7339ae1dc505fe6,2026-06-20 14:59:53
Civil Maintenance Labourer – Line Marking,,"Cairns,Cairns & Far North QLD",Contract,$42.95/hr + Penalties | Ongoing Civil Labouring & Line Marking Works,https://www.seek.com.au/job/92616916?type=standard&ref=search-standalone#sol=767928bdc8e655fc1a2c9f1d3cc7a0bcf3454f52,2026-06-20 14:59:53
labourers for blasting and painting,,"Murarrie,Brisbane QLD",N/A,$35 – $40 per hour,https://www.seek.com.au/job/92736721?type=standard&ref=search-standalone#sol=92589abedba01e043ad3f2f2a1b2b3cc3fca74cb,2026-06-20 14:59:53
General Labour | Manufacturing Facility,,"Condon,Northern QLD",Contract,$35 - $38,https://www.seek.com.au/job/92689471?type=standard&ref=search-standalone#sol=a4f1d83ef6f5c49c8be6630e5bd6e11090693751,2026-06-20 14:59:53
Waste Labourer,,"Benaraby,Gladstone & Central QLD",Casual,$49.67 per hour,https://www.seek.com.au/job/92768621?type=standard&ref=search-standalone#sol=26cfd422895b7fbf825f8920c35f79c1e2bf0977,2026-06-20 14:59:53
Civil Labourer – Cowley Beach,,"Cowley Beach,Cairns & Far North QLD",Contract,$43/hr + Overtime – Civil Labourer Role | Cowley Beach | Immediate Start,https://www.seek.com.au/job/92746487?type=standard&ref=search-standalone#sol=4a81a902c9dd218656fb1d6253021d1033e34415,2026-06-20 14:59:53
Skilled Labourers,,atFast Labour Hire Brisbane,Casual,$36 – $38 per hour,https://www.seek.com.au/job/92818209?type=standard&ref=search-standalone#sol=63a4cdbde41bbcdaabd5aced17cc1c4b9293218c,2026-06-20 14:59:53
Maintenance Crew Member (multiple positions available),,Brisbane QLD,N/A,N/A,https://www.seek.com.au/job/92764972?type=standard&ref=search-standalone#sol=cf2b8ea3bab3178d18fae596d90c9d59fc7cf9dd,2026-06-20 14:59:53
"Civil Labourers - FIFO with $80 LAHA + Accommodation, ASAP Start!",,"Richlands,Brisbane QLD",N/A,$38 - $39 p.h. + + SUPER + OT paid on penalties!,https://www.seek.com.au/job/92605724?type=standard&ref=search-standalone#sol=073b69a8f99a9df7511df52f5c8527d8fa8d8c65,2026-06-20 14:59:53
Commercial Duct Installer / Skilled Labourer - 9 day fortnight,,Brisbane QLD,N/A,$40 – $60 per hour,https://www.seek.com.au/job/92551569?type=standard&ref=search-standalone#sol=14e4ef07f740e8c68025b2c3a85cc466e0227337,2026-06-20 14:59:53
Building & Construction Labourer Wanted Immediate start,,"Western Suburbs & Ipswich,Brisbane QLD",Casual,N/A,https://www.seek.com.au/job/92748681?type=standard&ref=search-standalone#sol=4b9c263e5dc0caf913d303af40e7af47289ae31f,2026-06-20 14:59:53
